"","EMT_ID","ERE88","DATE","Value","theta","rollavg"
"1","SF-LA",66.6,2005-01-15,66.1358064516129,0.464193548387101,-0.241858806963635
"2","SF-LA",66.6,2005-02-15,65.6557142857143,0.944285714285726,-0.274170634920624
"3","SF-LA",66.6,2005-03-15,66.3974193548387,0.202580645161305,-0.335152777777767
"4","SF-LA",66.6,2005-04-15,66.1616666666667,0.438333333333347,-0.252115143369166
"5","SF-LA",66.6,2005-05-15,65.9041935483871,0.69580645161291,-0.115670698924722
"6","SF-LA",66.6,2005-06-15,67.5806666666667,-0.980666666666664,0.0564529569892572
"7","SF-LA",66.6,2005-07-15,67.6461290322581,-1.04612903225805,0.35242517921148
"8","SF-LA",66.6,2005-08-15,67.5512903225806,-0.951290322580633,0.592183243727609
"9","SF-LA",66.6,2005-09-15,67.2646666666667,-0.664666666666662,0.856000448028684
"10","SF-LA",66.6,2005-10-15,67.2690322580645,-0.669032258064505,1.01788933691757
"11","SF-LA",66.6,2005-11-15,67.3773333333333,-0.777333333333317,1.28049686379929
"12","SF-LA",66.6,2005-12-15,67.1583870967742,-0.558387096774183,1.61258019713263
"13","SF-LA",66.6,2006-01-15,66.5235483870968,0.0764516129032415,1.93373611111112
"14","SF-LA",66.6,2006-02-15,66.3875,0.212500000000006,2.15983826164875
"15","SF-LA",66.6,2006-03-15,65.4009677419355,1.19903225806452,2.32507635688685
"16","SF-LA",66.6,2006-04-15,64.5243333333333,2.07566666666668,2.4644043138761
"17","SF-LA",66.6,2006-05-15,63.8387096774194,2.76129032258066,2.54209875832054
"18","SF-LA",66.6,2006-06-15,64.029,2.57100000000001,2.61502886584742
"19","SF-LA",66.6,2006-07-15,64.7690322580645,1.8309677419355,2.6303066436252
"20","SF-LA",66.6,2006-08-15,64.3854838709677,2.21451612903226,2.55928513824886
"21","SF-LA",66.6,2006-09-15,65.322,1.27800000000001,2.33283352534563
"22","SF-LA",66.6,2006-10-15,64.1177419354839,2.48225806451613,2.1952501920123
"23","SF-LA",66.6,2006-11-15,63.3923333333333,3.20766666666668,1.94226632104455
"24","SF-LA",66.6,2006-12-15,63.3045161290323,3.29548387096775,1.66834965437789
"25","SF-LA",66.6,2007-01-15,63.8103225806452,2.78967741935485,1.457731374808
"26","SF-LA",66.6,2007-02-15,64.4046428571429,2.19535714285715,1.2955001920123
"27","SF-LA",66.6,2007-03-15,63.7290322580645,2.87096774193549,1.19289859102708
"28","SF-LA",66.6,2007-04-15,63.592,3.00800000000001,1.06029106414535
"29","SF-LA",66.6,2007-05-15,62.9635483870968,3.63645161290324,0.895513286367577
"30","SF-LA",66.6,2007-06-15,63.8456666666667,2.75433333333334,0.800808985292308
"31","SF-LA",66.6,2007-07-15,65.6212903225806,0.97870967741936,0.785781207514531
"32","SF-LA",66.6,2007-08-15,67.1029032258065,-0.502903225806449,0.79043174514894
"33","SF-LA",66.6,2007-09-15,66.973,-0.37299999999999,0.808093035471521
"34","SF-LA",66.6,2007-10-15,67.1535483870968,-0.553548387096768,0.782676368804854
"35","SF-LA",66.6,2007-11-15,66.6793333333333,-0.0793333333333237,0.792031207514531
"36","SF-LA",66.6,2007-12-15,65.831935483871,0.768064516129044,0.808558985292309
"37","SF-LA",66.6,2008-01-15,65.7570967741935,0.842903225806467,0.806704146582631
"38","SF-LA",66.6,2008-02-15,65.6358620689655,0.964137931034486,0.855225651958975
"39","SF-LA",66.6,2008-03-15,65.3203225806452,1.27967741935484,0.920237967229911
"40","SF-LA",66.6,2008-04-15,65.5693333333333,1.03066666666668,1.02416269841271
"41","SF-LA",66.6,2008-05-15,64.1,2.50000000000001,1.19235714285715
"42","SF-LA",66.6,2008-06-15,64.026,2.57400000000001,1.13273348694317
"43","SF-LA",66.6,2008-07-15,65.5654838709677,1.03451612903227,0.832372375832061
"44","SF-LA",66.6,2008-08-15,66.8909677419355,-0.290967741935475,0.666216461853566
"45","SF-LA",66.6,2008-09-15,67.278,-0.677999999999997,0.644415386584748
"46","SF-LA",66.6,2008-10-15,67.0412903225807,-0.441290322580642,0.622859831029193
"47","SF-LA",66.6,2008-11-15,66.481,0.119000000000014,0.609150153609839
"48","SF-LA",66.6,2008-12-15,65.8541935483871,0.745806451612907,0.626122375832061
"49","SF-LA",66.6,2009-01-15,65.1748387096774,1.42516129032259,0.538461085509481
"50","SF-LA",66.6,2009-02-15,64.8557142857143,1.74428571428572,0.413622375832061
"51","SF-LA",66.6,2009-03-15,64.0732258064516,2.52677419354839,0.256539042498728
"52","SF-LA",66.6,2009-04-15,63.551,3.04900000000001,-0.00278891449051955
"53","SF-LA",66.6,2009-05-15,64.8154838709677,1.78451612903227,-0.326927803379409
"54","SF-LA",66.6,2009-06-15,67.6303333333333,-1.03033333333333,-0.510395545314893
"55","SF-LA",66.6,2009-07-15,67.5593548387097,-0.959354838709672,-0.437478878648226
"56","SF-LA",66.6,2009-08-15,67.1525806451613,-0.552580645161285,-0.398742319508441
